CODI;Descrição;NCM;CST;ALIQ_ICMS;REDU_ESTA;REDU_INTER;CST_PIS;ALIQ_PIS;CST_COFINS;ALIQ_COFINS
78219;CAIXA DE LENHA;94036000;000;17;0,00%;0,00%;01;1,65;01;7,6
93916;COMPLEMENTO DE ICMS;00000000;090;17;0,00%;0,00%;01;1,65;01;7,6
64440;MILK ANEL INT.VEDA.ADAPT.PULSADOR N;40169300;000;17;0,00%;0,00%;01;1,65;01;7,6
69086;MILK ANEL VEDACAO COPO MEDIDOR NACIONAL;40169300;000;17;0,00%;0,00%;01;1,65;01;7,6
88494;MAO-DE-OBRA;00071339;000;17;0,00%;0,00%;01;1,65;01;7,6
85570;MILK ANEL VED.CORPO DO DEP.32MM   N;40169300;000;17;0,00%;0,00%;01;1,65;01;7,6
64432;MILK ANEL EXT.VEDA.ADAPT.PULSADOR N;40169300;000;17;0,00%;0,00%;01;1,65;01;7,6
89256;MUDAS DE AMOR PERFEITO;06029029;040;0;0,00%;0,00%;01;1,65;01;7,6
59528;GERMON PLLUS 1LT;34029090;000;17;0,00%;0,00%;01;1,65;01;7,6
43850;MUDAS CEBOLA B.PERIF.(100MD);06029029;040;0;0,00%;0,00%;01;1,65;01;7,6
78731;PLENUN LITRO;38085010;040;0;0,00%;0,00%;06;0;06;0
11108;ENGEO PLENO 5LT;38085010;040;0;0,00%;0,00%;06;0;06;0
62413;GLIFOSATO NORTOX 10LT;38085010;040;0;0,00%;0,00%;06;0;06;0
78832;KIT ESPATULAS;73170090;000;17;0,00%;0,00%;01;1,65;01;7,6
20486;PRADOVIT 50ML.;23099090;040;0;0,00%;0,00%;01;1,65;01;7,6
94501;PRATO P/VASO P14;39269090;000;17;0,00%;0,00%;01;1,65;01;7,6
94502;ARANDELA DUPLA AD 39C;39269090;000;17;0,00%;0,00%;01;1,65;01;7,6
78868;PINTO DE CORTE EXTRA;01051190;040;0;0,00%;0,00%;06;0;06;0
86916;PINTO CAIPIRA/MESCLADOS RECRIADOS;01051190;040;0;0,00%;0,00%;06;0;06;0
59943;PINTO PESCOCO PELADO REC.15 DIAS  N;01051190;040;0;0,00%;0,00%;06;0;06;0
10469;PINTO POEDEIRA POSTURA NEGRA;01051190;040;0;0,00%;0,00%;06;0;06;0
10553;PINTO RECRIADOS CARIJO EXTRA;01051190;040;0;0,00%;0,00%;06;0;06;0
3182;PINTO CORTE 1 DIA VACINADOS;01051190;040;0;0,00%;0,00%;06;0;06;0
3190;PINTO POEDEIRA VERMELHA RECRIADOS;01051190;040;0;0,00%;0,00%;06;0;06;0
89186;PERU;01051190;040;0;0,00%;0,00%;06;0;06;0
91344;PINTO DE CORTE PESADAO EXTRA;01051190;040;0;0,00%;0,00%;06;0;06;0
94500;PRATO P/VASO P17;39269090;000;17;0,00%;0,00%;01;1,65;01;7,6
94504;VASO VENEZA VP 19T;39269090;000;17;0,00%;0,00%;01;1,65;01;7,6
94018;VASO MILANO MEDIO MP 28T;39269090;000;17;0,00%;0,00%;01;1,65;01;7,6
